date,compound
01/11/2019,203.2874
02/11/2019,178.3068
03/11/2019,191.2831
04/11/2019,167.4784
05/11/2019,184.97
06/11/2019,150.7487
07/11/2019,140.8886
08/11/2019,155.7821
09/11/2019,182.3841
10/11/2019,142.0315
11/11/2019,162.6721
12/11/2019,220.5699
13/11/2019,218.5675
14/11/2019,178.7668
15/11/2019,200.0216
16/11/2019,147.434
17/11/2019,149.5143
18/11/2019,160.9636
19/11/2019,188.0825
20/11/2019,119.0714
21/11/2019,128.7318
22/11/2019,141.0107
23/11/2019,163.5369
24/11/2019,145.9491
25/11/2019,189.8447
26/11/2019,114.5735
27/11/2019,202.4972
28/11/2019,110.2918
29/11/2019,191.9398
30/11/2019,134.5449
01/12/2019,148.5108
02/12/2019,152.3889
03/12/2019,154.0948
04/12/2019,176.4966
05/12/2019,136.6777
06/12/2019,124.241
07/12/2019,153.3045
08/12/2019,178.6877
09/12/2019,163.3676
10/12/2019,159.0265
11/12/2019,228.6723
12/12/2019,191.2539
13/12/2019,193.4748
14/12/2019,204.8016
15/12/2019,190.0733
16/12/2019,236.7276
17/12/2019,212.787
18/12/2019,224.2564
19/12/2019,199.8762
20/12/2019,208.7668
21/12/2019,227.942
22/12/2019,266.087
23/12/2019,261.3021
24/12/2019,198.4332
25/12/2019,221.0175
26/12/2019,205.533
27/12/2019,216.8411
28/12/2019,267.5148
29/12/2019,265.6574
30/12/2019,256.0244
31/12/2019,253.8552
01/01/2020,256.3724
02/01/2020,212.2869
03/01/2020,233.3323
04/01/2020,336.1648
05/01/2020,352.3002
06/01/2020,265.8575
07/01/2020,289.1228
08/01/2020,280.4248
09/01/2020,252.2055
10/01/2020,252.1424
11/01/2020,248.2908
12/01/2020,269.0957
13/01/2020,219.2956
14/01/2020,335.2373
15/01/2020,303.3771
16/01/2020,270.5006
17/01/2020,238.9632
18/01/2020,287.5327
19/01/2020,266.7043
20/01/2020,288.5326
21/01/2020,297.5526
22/01/2020,251.1046
23/01/2020,271.4266
24/01/2020,274.5356
25/01/2020,438.0128
26/01/2020,400.5131
27/01/2020,231.5247
28/01/2020,323.2912
29/01/2020,328.0578
30/01/2020,284.9021
31/01/2020,276.1119
01/02/2020,223.2006
02/02/2020,858.3267
03/02/2020,373.8965
04/02/2020,344.6365
05/02/2020,345.5771
06/02/2020,343.3503
07/02/2020,275.7841
08/02/2020,276.018
09/02/2020,402.4658
10/02/2020,300.2215
11/02/2020,340.7051
12/02/2020,326.838
13/02/2020,280.8144
14/02/2020,277.6327
15/02/2020,257.4547
16/02/2020,239.9841
17/02/2020,237.8402
18/02/2020,312.1849
19/02/2020,255.865
20/02/2020,169.3166
21/02/2020,200.4828
22/02/2020,182.7666
23/02/2020,218.7661
24/02/2020,206.4851
25/02/2020,224.3173
26/02/2020,242.0164
27/02/2020,257.8757
28/02/2020,285.961
29/02/2020,194.4725
01/03/2020,213.3938
02/03/2020,137.3948
03/03/2020,183.4266
04/03/2020,196.2386
05/03/2020,252.0635
06/03/2020,173.6249
07/03/2020,160.285
08/03/2020,136.7753
09/03/2020,165.9736
10/03/2020,232.8379
11/03/2020,175.803
12/03/2020,88.5995
13/03/2020,113.4885
14/03/2020,137.1847
15/03/2020,153.3191
16/03/2020,93.2408
17/03/2020,212.0935
18/03/2020,232.7762
19/03/2020,231.222
20/03/2020,179.2068
21/03/2020,158.2096
22/03/2020,194.1538
23/03/2020,194.9122
24/03/2020,204.1663
25/03/2020,159.6206
26/03/2020,131.3763
27/03/2020,115.8464
28/03/2020,71.133
29/03/2020,171.5474
30/03/2020,107.3258
31/03/2020,24.9369
01/04/2020,64.4379
02/04/2020,240.5703
03/04/2020,275.7305
04/04/2020,114.3677
05/04/2020,171.7507
06/04/2020,289.8429
07/04/2020,265.9085
08/04/2020,250.065
09/04/2020,155.1399
10/04/2020,248.3229
11/04/2020,189.4432
12/04/2020,254.1259
13/04/2020,211.8439
14/04/2020,299.6569
15/04/2020,236.1197
16/04/2020,210.6194
17/04/2020,197.0961
18/04/2020,213.555
19/04/2020,201.9075
20/04/2020,210.5961
21/04/2020,151.1494
22/04/2020,195.2432
23/04/2020,187.237
24/04/2020,214.3313
25/04/2020,128.3802
26/04/2020,195.0879
27/04/2020,209.3618
28/04/2020,237.912
29/04/2020,460.1307
30/04/2020,386.093
01/05/2020,316.8032
02/05/2020,258.067
03/05/2020,299.1561
04/05/2020,229.7228
05/05/2020,226.1994
06/05/2020,399.0379
07/05/2020,443.7882
08/05/2020,343.563
09/05/2020,179.4688
10/05/2020,128.8364
11/05/2020,217.3508
12/05/2020,253.4204
13/05/2020,397.4291
14/05/2020,463.7906
15/05/2020,396.4009
16/05/2020,451.8129
17/05/2020,442.7859
18/05/2020,476.3952
19/05/2020,440.8683
20/05/2020,349.1107
21/05/2020,389.8964
22/05/2020,441.8726
23/05/2020,425.8113
24/05/2020,304.4393
25/05/2020,338.0041
26/05/2020,320.2756
27/05/2020,406.4649
28/05/2020,404.3589
29/05/2020,409.3984
30/05/2020,327.345
31/05/2020,333.5164
01/06/2020,352.5908
02/06/2020,544.5335
03/06/2020,381.9074
04/06/2020,382.1453
05/06/2020,287.5564
06/06/2020,345.6137
07/06/2020,332.7075
08/06/2020,351.7094
09/06/2020,317.0406
10/06/2020,316.1751
11/06/2020,468.1209
12/06/2020,293.84
13/06/2020,191.8634
14/06/2020,139.7466
15/06/2020,154.2929
16/06/2020,90.9013
17/06/2020,291.7474
18/06/2020,298.6619
19/06/2020,333.9758
20/06/2020,213.2535
21/06/2020,308.5807
22/06/2020,303.1856
23/06/2020,448.2086
24/06/2020,296.4111
25/06/2020,279.3435
26/06/2020,354.9679
27/06/2020,280.8934
28/06/2020,318.8561
29/06/2020,357.0099
30/06/2020,334.798
01/07/2020,259.2253
02/07/2020,364.9847
03/07/2020,443.043
04/07/2020,367.6067
05/07/2020,423.51
06/07/2020,366.5376
07/07/2020,479.209
08/07/2020,464.7708
09/07/2020,395.1063
10/07/2020,209.2588
11/07/2020,228.4531
12/07/2020,476.3012
13/07/2020,289.0728
14/07/2020,145.4077
15/07/2020,-375.7426
16/07/2020,-419.1193
17/07/2020,26.2757
18/07/2020,49.7298
19/07/2020,29.9386
20/07/2020,57.0091
21/07/2020,127.9644
22/07/2020,280.4144
23/07/2020,230.7552
24/07/2020,182.8328
25/07/2020,221.3226
26/07/2020,258.3104
27/07/2020,600.5882
28/07/2020,344.183
29/07/2020,256.1784
30/07/2020,303.9614
31/07/2020,312.6268
01/08/2020,364.9506
02/08/2020,319.5703
03/08/2020,262.0827
04/08/2020,188.8302
05/08/2020,290.9244
06/08/2020,284.7224
07/08/2020,613.0027
08/08/2020,312.6072
09/08/2020,106.5668
10/08/2020,179.1549
11/08/2020,143.4263
12/08/2020,179.5868
13/08/2020,197.5246
14/08/2020,259.0252
15/08/2020,221.2766
16/08/2020,170.9904
17/08/2020,293.6958
18/08/2020,245.8395
19/08/2020,209.0573
20/08/2020,273.0326
21/08/2020,318.1232
22/08/2020,253.1532
23/08/2020,247.7774
24/08/2020,182.9291
25/08/2020,196.9872
26/08/2020,263.8919
27/08/2020,318.6365
28/08/2020,297.1081
29/08/2020,361.4079
30/08/2020,142.5699
31/08/2020,219.7256
01/09/2020,270.7042
02/09/2020,211.3461
03/09/2020,352.7692
04/09/2020,256.2149
05/09/2020,330.4333
06/09/2020,197.1674
07/09/2020,235.9504
08/09/2020,188.3826
09/09/2020,259.5701
10/09/2020,255.9762
11/09/2020,261.9803
12/09/2020,256.0744
13/09/2020,171.9559
14/09/2020,174.432
15/09/2020,191.0362
16/09/2020,214.554
17/09/2020,216.032
18/09/2020,237.5343
19/09/2020,260.8228
20/09/2020,219.3956
21/09/2020,247.7101
22/09/2020,232.7913
23/09/2020,274.244
24/09/2020,195.2613
25/09/2020,188.435
26/09/2020,201.6391
27/09/2020,191.8646
28/09/2020,242.7209
29/09/2020,286.8077
30/09/2020,227.1236
01/10/2020,245.4375
02/10/2020,254.6896
03/10/2020,258.0156
04/10/2020,274.8874
05/10/2020,190.6895
06/10/2020,124.1171
07/10/2020,92.0717
08/10/2020,234.0341
09/10/2020,161.6111
10/10/2020,200.9513
11/10/2020,203.8396
12/10/2020,90.0982
13/10/2020,83.9386
14/10/2020,435.9619
15/10/2020,308.3497
16/10/2020,272.8183
17/10/2020,168.7858
18/10/2020,309.785
19/10/2020,193.7912
20/10/2020,191.3473
21/10/2020,783.8157
22/10/2020,377.4976
23/10/2020,240.6164
24/10/2020,171.9308
25/10/2020,182.1764
26/10/2020,231.4681
27/10/2020,300.8052
28/10/2020,270.2543
29/10/2020,217.5195
30/10/2020,262.3667
31/10/2020,308.2812
01/11/2020,160.9924
02/11/2020,226.9917
03/11/2020,288.705
04/11/2020,331.9514
05/11/2020,644.1404
06/11/2020,384.4223
07/11/2020,250.875
08/11/2020,183.0305
09/11/2020,311.593
10/11/2020,260.0281
11/11/2020,317.2321
12/11/2020,406.1768
13/11/2020,371.9847
14/11/2020,214.4884
15/11/2020,200.6267
16/11/2020,402.8883
17/11/2020,711.3887
18/11/2020,605.8497
19/11/2020,390.9694
20/11/2020,568.452
21/11/2020,460.9244
22/11/2020,321.3152
23/11/2020,424.3966
24/11/2020,825.6681
25/11/2020,546.7779
26/11/2020,538.2939
27/11/2020,434.5582
28/11/2020,358.6676
29/11/2020,339.7327
30/11/2020,822.6979
01/12/2020,683.4754
02/12/2020,509.7973
03/12/2020,433.067
04/12/2020,382.7293
05/12/2020,325.0217
06/12/2020,297.3575
07/12/2020,316.7332
08/12/2020,414.6964
09/12/2020,387.7546
10/12/2020,318.7904
11/12/2020,395.5104
12/12/2020,334.7019
13/12/2020,383.2426
14/12/2020,546.4163
15/12/2020,598.3687
16/12/2020,1775.9969
17/12/2020,1761.4722
18/12/2020,974.8061
19/12/2020,707.9856
20/12/2020,567.8575
21/12/2020,505.9723
22/12/2020,627.9384
23/12/2020,550.9126
24/12/2020,479.9495
25/12/2020,663.5589
26/12/2020,954.4067
27/12/2020,1137.4822
28/12/2020,632.0817
29/12/2020,607.8929
30/12/2020,698.2007
31/12/2020,738.7024
01/01/2021,709.329
02/01/2021,2045.5732
03/01/2021,1500.9365
04/01/2021,781.3815
05/01/2021,890.0862
06/01/2021,1172.5511
07/01/2021,1859.2723
08/01/2021,1504.0086
09/01/2021,849.7818
10/01/2021,801.196
11/01/2021,686.6936
12/01/2021,798.2923
13/01/2021,721.4024
14/01/2021,686.0758
15/01/2021,662.8248
16/01/2021,439.2353
17/01/2021,351.1673
18/01/2021,393.3067
19/01/2021,568.7889
20/01/2021,462.9167
21/01/2021,371.5544
22/01/2021,481.9118
23/01/2021,285.6478
24/01/2021,293.4294
25/01/2021,493.5773
26/01/2021,502.8784
27/01/2021,501.9116
28/01/2021,753.3438
29/01/2021,2157.5554
30/01/2021,775.166
31/01/2021,665.9767
01/02/2021,1331.1937
02/02/2021,490.5272
03/02/2021,641.6105
04/02/2021,711.9473
05/02/2021,-206.2875
06/02/2021,655.4511
07/02/2021,717.5017
08/02/2021,5264.4704
09/02/2021,2473.5189
10/02/2021,1066.3017
11/02/2021,1218.6032
12/02/2021,1246.1818
13/02/2021,854.1993
14/02/2021,1057.7446
15/02/2021,703.027
16/02/2021,1291.5557
17/02/2021,1476.8394
18/02/2021,763.0255
19/02/2021,1765.7935
20/02/2021,1326.4744
21/02/2021,988.1846
22/02/2021,877.5087
23/02/2021,1012.4772
24/02/2021,907.439
25/02/2021,686.1808
26/02/2021,742.6132
27/02/2021,510.3814
28/02/2021,638.6355
01/03/2021,864.3804
02/03/2021,1013.8364
03/03/2021,805.2419
04/03/2021,634.4627
05/03/2021,648.5306
06/03/2021,461.6658
07/03/2021,563.2691
08/03/2021,629.5928
09/03/2021,757.4647
10/03/2021,551.0452
11/03/2021,701.7676
12/03/2021,717.8087
13/03/2021,1333.6998
14/03/2021,631.2022
15/03/2021,446.2902
16/03/2021,639.2645
17/03/2021,806.1156
18/03/2021,767.242
19/03/2021,895.4295
20/03/2021,567.2201
21/03/2021,425.4219
22/03/2021,743.5869
23/03/2021,840.0386
24/03/2021,1267.6701
25/03/2021,864.3634
26/03/2021,805.8003
27/03/2021,514.1721
28/03/2021,586.3343
29/03/2021,651.9017
30/03/2021,912.9283
31/03/2021,751.8967
01/04/2021,735.9862
02/04/2021,901.9803
03/04/2021,620.1618
05/04/2021,68.3461
06/04/2021,1023.1097
07/04/2021,869.2507
08/04/2021,842.6611
09/04/2021,866.1742
10/04/2021,911.8995
11/04/2021,867.3649
12/04/2021,945.0422
13/04/2021,1595.9317
14/04/2021,1221.232
15/04/2021,926.3656
16/04/2021,1181.8009
17/04/2021,839.2434
18/04/2021,1024.6641
19/04/2021,961.9325
20/04/2021,1079.5475
21/04/2021,809.9353
22/04/2021,793.6533
23/04/2021,1155.5155
24/04/2021,830.5704
25/04/2021,847.3334
26/04/2021,979.9666
27/04/2021,1149.1461
28/04/2021,927.8221
29/04/2021,997.482
30/04/2021,1122.1501
01/05/2021,780.6084
02/05/2021,738.5164
03/05/2021,949.9019
04/05/2021,974.3025
05/05/2021,1290.7067
06/05/2021,962.4166
07/05/2021,1085.0388
08/05/2021,903.333
09/05/2021,766.9533
10/05/2021,1016.0548
11/05/2021,903.8219
12/05/2021,1107.2737
13/05/2021,1671.2876
14/05/2021,884.0068
15/05/2021,807.8817
16/05/2021,1061.1224
17/05/2021,1321.4375
18/05/2021,1033.3029
19/05/2021,2531.1325
20/05/2021,1885.5848
21/05/2021,602.1241
22/05/2021,995.3949
23/05/2021,1163.0839
24/05/2021,1332.6707
25/05/2021,1031.4667
26/05/2021,876.2623
27/05/2021,811.1584
28/05/2021,730.4693
29/05/2021,668.2038
30/05/2021,824.1252
31/05/2021,678.8466
01/06/2021,793.8462
02/06/2021,671.1827
03/06/2021,691.7521
04/06/2021,634.3368
05/06/2021,1099.5453
06/06/2021,1060.6114
07/06/2021,786.1741
08/06/2021,716.7341
09/06/2021,2929.4813
10/06/2021,973.3325
11/06/2021,848.0507
12/06/2021,469.1205
13/06/2021,828.3002
14/06/2021,1597.6616
15/06/2021,1219.3536
16/06/2021,552.2328
17/06/2021,683.8093
18/06/2021,626.098
19/06/2021,519.0673
20/06/2021,666.4163
21/06/2021,397.4492
22/06/2021,941.2072
23/06/2021,688.8432
24/06/2021,637.3042
25/06/2021,826.5251
26/06/2021,579.6585
27/06/2021,511.1686
28/06/2021,704.8281
29/06/2021,860.0059
30/06/2021,804.0858
01/07/2021,601.9722
02/07/2021,527.622
03/07/2021,515.5712
04/07/2021,587.6956
05/07/2021,525.4184
06/07/2021,515.5064
07/07/2021,563.5966
08/07/2021,455.3724
09/07/2021,494.1314
10/07/2021,409.6064
11/07/2021,469.6991
12/07/2021,2680.8402
13/07/2021,2212.6971
14/07/2021,877.0573
15/07/2021,535.7386
16/07/2021,430.3067
17/07/2021,415.6495
18/07/2021,497.8603
19/07/2021,496.2218
20/07/2021,390.3582
21/07/2021,1555.8992
22/07/2021,750.9533
23/07/2021,606.9623
24/07/2021,559.1829
25/07/2021,722.7295
26/07/2021,1876.3267
27/07/2021,845.3966
28/07/2021,854.5756
29/07/2021,640.8958
30/07/2021,705.0324
31/07/2021,703.2095
01/08/2021,692.0441
02/08/2021,635.1753
03/08/2021,606.6754
04/08/2021,635.4204
05/08/2021,649.2616
06/08/2021,949.0694
07/08/2021,776.9084
08/08/2021,736.3913
09/08/2021,1016.8559
10/08/2021,872.3059
11/08/2021,869.3724
12/08/2021,594.33
13/08/2021,811.6912
14/08/2021,536.8677
15/08/2021,543.8095
16/08/2021,713.8883
17/08/2021,543.5954
18/08/2021,584.9311
19/08/2021,600.0597
20/08/2021,821.2171
21/08/2021,499.1868
22/08/2021,641.4454
23/08/2021,956.3846
24/08/2021,600.7475
25/08/2021,646.0018
26/08/2021,685.0946
27/08/2021,526.1636
28/08/2021,557.6018
29/08/2021,481.3253
30/08/2021,489.7139
31/08/2021,459.1023
01/09/2021,454.6464
02/09/2021,649.1329
03/09/2021,658.2307
04/09/2021,509.6864
05/09/2021,563.0723
06/09/2021,830.8327
07/09/2021,1218.9535
08/09/2021,692.851
09/09/2021,735.9589
10/09/2021,530.7778
11/09/2021,583.7338
12/09/2021,585.2107
13/09/2021,671.0447
14/09/2021,639.5787
15/09/2021,727.1431
16/09/2021,621.7689
17/09/2021,553.8931
18/09/2021,707.1554
19/09/2021,592.0959
20/09/2021,637.9178
21/09/2021,720.6975
22/09/2021,629.7856
23/09/2021,804.4446
24/09/2021,-841.1526
25/09/2021,199.2144
26/09/2021,390.19
27/09/2021,500.4297
28/09/2021,515.7234
29/09/2021,595.7518
30/09/2021,622.6265
01/10/2021,1144.4812
02/10/2021,622.837
03/10/2021,628.9473
22/12/2021,522.7669
23/12/2021,302.3313
24/12/2021,366.7557
25/12/2021,355.1211
26/12/2021,290.4766
27/12/2021,415.5088
28/12/2021,278.6975
29/12/2021,338.8783
30/12/2021,311.7204
31/12/2021,497.7288
01/01/2022,373.9566
02/01/2022,291.0924
03/01/2022,386.174
04/01/2022,149.4278
05/01/2022,232.1494
06/01/2022,-198.7516
07/01/2022,397.2321
08/01/2022,194.0559
09/01/2022,155.0924
10/01/2022,243.4643
11/01/2022,534.6455
12/01/2022,459.6929
13/01/2022,463.4418
14/01/2022,175.2205
15/01/2022,242.6377
16/01/2022,325.6314
17/01/2022,500.1384
18/01/2022,518.5571
19/01/2022,200.331
20/01/2022,394.1736
21/01/2022,-8.1424
22/01/2022,206.0379
23/01/2022,-97.7724
24/01/2022,-353.7822
25/01/2022,323.772
26/01/2022,603.1642
27/01/2022,542.0112
28/01/2022,703.0759
29/01/2022,418.0746
30/01/2022,399.8256
31/01/2022,429.2458
01/02/2022,714.313
02/02/2022,99.1366
03/02/2022,82.7565
04/02/2022,748.8789
05/02/2022,409.5668
06/02/2022,327.5099
07/02/2022,789.1745
08/02/2022,707.6493
09/02/2022,1010.4245
10/02/2022,658.4499
11/02/2022,333.6524
12/02/2022,158.2472
13/02/2022,356.0572
14/02/2022,332.5551
15/02/2022,478.1059
16/02/2022,301.2764
17/02/2022,218.1738
18/02/2022,-423.4728
19/02/2022,249.0656
20/02/2022,33.4438
21/02/2022,395.2712
22/02/2022,313.2813
23/02/2022,320.0104
24/02/2022,-246.4889
25/02/2022,220.3582
26/02/2022,179.9682
27/02/2022,181.288
28/02/2022,711.1562
01/03/2022,698.5965
02/03/2022,520.1763
03/03/2022,240.8751
04/03/2022,335.6076
05/03/2022,177.9641
06/03/2022,186.7811
07/03/2022,372.3088
08/03/2022,444.7743
09/03/2022,779.8787
10/03/2022,469.3803
11/03/2022,541.0681
12/03/2022,101.7023
13/03/2022,47.3065
14/03/2022,60.352
15/03/2022,281.6213
16/03/2022,632.3295
17/03/2022,315.5222
18/03/2022,439.4145
19/03/2022,265.5784
20/03/2022,209.5555
21/03/2022,55.0006
22/03/2022,115.1601
23/03/2022,-156.7532
24/03/2022,276.6341
25/03/2022,133.0222
26/03/2022,-148.979
27/03/2022,254.7729
28/03/2022,426.7687
29/03/2022,197.1283
30/03/2022,-294.6622
31/03/2022,-263.3148
01/04/2022,-165.3422
02/04/2022,-208.3763
03/04/2022,-216.8526
04/04/2022,-161.1327
05/04/2022,-27.2181
06/04/2022,-184.8626
07/04/2022,253.7184
08/04/2022,135.6142
09/04/2022,70.2276
10/04/2022,-41.9517
11/04/2022,-60.9169
12/04/2022,-24.1623
13/04/2022,190.2992
14/04/2022,-14.2185
15/04/2022,-139.6582
16/04/2022,-172.4334
17/04/2022,-312.0534
18/04/2022,-309.6937
19/04/2022,-212.3485
20/04/2022,-240.4365
21/04/2022,-184.8633
22/04/2022,-378.0849
23/04/2022,-395.7604
24/04/2022,24.2015
25/04/2022,210.7863
26/04/2022,265.3382
27/04/2022,-183.1497
28/04/2022,198.7993
29/04/2022,-105.4765
30/04/2022,-429.6288
01/05/2022,-242.9932
02/05/2022,-71.6642
03/05/2022,-11.079
04/05/2022,155.234
05/05/2022,4.3477
06/05/2022,-33.592
07/05/2022,-125.0004
08/05/2022,-133.7417
09/05/2022,-50.3306
10/05/2022,-30.9808
11/05/2022,527.6155
12/05/2022,712.3245
13/05/2022,214.6054
14/05/2022,361.2782
15/05/2022,-59.4153
16/05/2022,18.4033
17/05/2022,-196.2506
18/05/2022,-220.8938
19/05/2022,141.8942
20/05/2022,200.9466
21/05/2022,-137.4437
22/05/2022,79.3021
23/05/2022,251.2732
24/05/2022,118.6194
25/05/2022,116.0193
26/05/2022,-126.8003
27/05/2022,-73.0127
28/05/2022,-403.0783
29/05/2022,-176.7933
30/05/2022,-57.4315
31/05/2022,-55.9917
01/06/2022,28.6241
02/06/2022,-0.5469
03/06/2022,-160.7799
04/06/2022,-166.1153
05/06/2022,-132.5087
06/06/2022,-137.2687
07/06/2022,-153.7887
08/06/2022,-178.1623
09/06/2022,-137.5421
10/06/2022,-104.7206
11/06/2022,-130.3186
12/06/2022,-174.3275
13/06/2022,191.6204
14/06/2022,32.9285
15/06/2022,58.015
16/06/2022,133.3187
17/06/2022,-40.1592
18/06/2022,-187.6689
19/06/2022,166.0357
20/06/2022,-171.0138
21/06/2022,-89.3334
22/06/2022,44.3444
23/06/2022,156.9978
24/06/2022,-24.5691
25/06/2022,-37.6236
26/06/2022,241.2311
27/06/2022,93.7759
28/06/2022,27.1316
29/06/2022,153.5123
30/06/2022,9.4884
01/07/2022,185.6408
02/07/2022,226.0056
03/07/2022,175.3136
04/07/2022,245.8598
05/07/2022,326.2566
06/07/2022,298.0786
07/07/2022,172.6586
08/07/2022,249.8897
09/07/2022,166.9633
10/07/2022,-27.8863
11/07/2022,156.5819
12/07/2022,82.2912
13/07/2022,209.4743
14/07/2022,324.3637
15/07/2022,376.4751
16/07/2022,391.2284
17/07/2022,462.33
18/07/2022,663.4881
19/07/2022,602.9146
20/07/2022,865.9471
21/07/2022,715.6834
22/07/2022,578.7281
23/07/2022,701.7642
24/07/2022,359.9967
25/07/2022,652.1154
26/07/2022,599.5663
27/07/2022,712.6147
28/07/2022,771.3449
29/07/2022,749.322
30/07/2022,896.6455
31/07/2022,795.0803
01/08/2022,901.4978
02/08/2022,840.0029
03/08/2022,821.0885
04/08/2022,787.2731
05/08/2022,743.5226
06/08/2022,395.8242
07/08/2022,661.4963
08/08/2022,1212.0986
09/08/2022,908.2998
10/08/2022,1112.0891
11/08/2022,1280.0794
12/08/2022,1091.6378
13/08/2022,971.4231
14/08/2022,512.9641
15/08/2022,653.3385
16/08/2022,553.6241
17/08/2022,586.9006
18/08/2022,415.5057
19/08/2022,330.1184
20/08/2022,253.8468
21/08/2022,361.6774
22/08/2022,403.9602
23/08/2022,636.2003
24/08/2022,489.6744
25/08/2022,542.3662
26/08/2022,453.591
27/08/2022,360.5832
28/08/2022,420.9379
29/08/2022,332.5566
30/08/2022,423.3211
31/08/2022,297.0461
01/09/2022,299.9313
02/09/2022,244.4974
03/09/2022,173.8272
04/09/2022,200.5844
05/09/2022,269.3339
06/09/2022,273.9857
07/09/2022,361.8317
08/09/2022,225.0651
09/09/2022,262.9584
10/09/2022,132.7408
11/09/2022,11.746
12/09/2022,151.1694
13/09/2022,162.5011
14/09/2022,251.0787
15/09/2022,157.3922
16/09/2022,176.1119
17/09/2022,27.946
18/09/2022,-45.0855
19/09/2022,93.1285
20/09/2022,120.7727
21/09/2022,235.5348
22/09/2022,181.1925
23/09/2022,157.4715
24/09/2022,15.2413
25/09/2022,77.9591
26/09/2022,140.0817
27/09/2022,407.8053
28/09/2022,335.9864
29/09/2022,503.0579
30/09/2022,495.2979
01/10/2022,396.8399
02/10/2022,440.4598
03/10/2022,447.0074
04/10/2022,745.172
05/10/2022,733.6077
06/10/2022,735.3755
07/10/2022,584.9969
08/10/2022,514.4483
09/10/2022,729.4342
10/10/2022,701.4963
11/10/2022,674.5812
12/10/2022,767.0395
13/10/2022,730.1915
14/10/2022,661.5738
15/10/2022,668.7691
16/10/2022,602.3479
17/10/2022,742.0125
18/10/2022,697.6971
19/10/2022,786.7635
20/10/2022,667.9546
21/10/2022,1199.2534
22/10/2022,605.9735
23/10/2022,551.7338
24/10/2022,450.1348
25/10/2022,835.9873
26/10/2022,1027.1528
27/10/2022,815.5992
28/10/2022,916.0187
29/10/2022,532.5536
30/10/2022,587.1368
31/10/2022,588.9378
01/11/2022,467.6681
02/11/2022,827.0119
03/11/2022,933.3767
04/11/2022,1767.3295
05/11/2022,1278.8797
06/11/2022,1548.0287
07/11/2022,583.7603
08/11/2022,-324.7714
09/11/2022,63.0021
10/11/2022,2.5665
11/11/2022,122.9925
12/11/2022,-98.5583
13/11/2022,78.7139
14/11/2022,277.22
15/11/2022,784.4478
16/11/2022,336.1183
17/11/2022,489.184
18/11/2022,441.6583
19/11/2022,155.8677
20/11/2022,290.268
21/11/2022,2.5944
22/11/2022,72.5174
